seller,seller_URL,items_no,sales_no,admirers_no,year_join,metrics
LandOfMountain,https://www.etsy.com/uk/shop/LandOfMountain?ref=shop-header-name&listing_id=1497824160&from_page=listing,59,194,128,2022,"['Speedy replies', 'Rave reviews']"
LandofRune,https://www.etsy.com/uk/shop/LandofRune?ref=shop-header-name&listing_id=1651889572&from_page=listing,118,570,130,Not known,None
LapaStudios,https://www.etsy.com/uk/shop/LapaStudios?ref=shop-header-name&listing_id=475165026&from_page=listing,177,248,6943,2015,"['Smooth dispatch', 'Rave reviews']"
LarpInn,https://www.etsy.com/uk/shop/LarpInn?ref=shop-header-name&listing_id=734778151&from_page=listing,33,29961,1044,2017,['Rave reviews']
LastChanceCosplay,https://www.etsy.com/uk/shop/LastChanceCosplay?ref=shop-header-name&listing_id=1144940268&from_page=listing,2,1822,99,Not known,None
LastPotBrewed,https://www.etsy.com/uk/shop/LastPotBrewed?ref=shop-header-name&listing_id=597232155&from_page=listing,74,263,400,2012,['Rave reviews']
LatestEpic,https://www.etsy.com/uk/shop/LatestEpic?ref=shop-header-name&listing_id=1327658673&from_page=listing,83,1212,209,2022,None
LatexCosplayDream,https://www.etsy.com/uk/shop/LatexCosplayDream?ref=shop-header-name&listing_id=1506522587&from_page=listing,7,1415,193,2016,None
LeArtAir,https://www.etsy.com/uk/shop/LeArtAir?ref=shop-header-name&listing_id=1601501497&from_page=listing,274,10,1872,2020,"['Smooth dispatch', 'Speedy replies']"
LeDragonArgente,https://www.etsy.com/uk/shop/LeDragonArgente?ref=shop-header-name&listing_id=704752561&from_page=listing,264,2846,5194,2010,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
LeatKrafter,https://www.etsy.com/uk/shop/LeatKrafter?ref=shop-header-name&listing_id=1701334441&from_page=listing,46,8856,409,Not known,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
LeathecyStudio,https://www.etsy.com/uk/shop/LeathecyStudio?ref=shop-header-name&listing_id=546217964&from_page=listing,15,1688,275,2017,"['Smooth dispatch', 'Speedy replies']"
Leather3Dneon,https://www.etsy.com/uk/shop/Leather3Dneon?ref=shop-header-name&listing_id=806717674&from_page=listing,8,684,866,2017,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
